CL, Tau_in, Rise Time, Fall Time, Clock-to-Q-HL, Clock-to-Q-LH
7.000000e-15,1.100000e-09,3.850000e-10,2.550000e-10,3.700000e-10,3.450000e-10
7.000000e-15,1.200000e-09,3.850000e-10,2.550000e-10,3.750000e-10,3.550000e-10
7.000000e-15,1.300000e-09,3.850000e-10,2.550000e-10,3.750000e-10,3.550000e-10
8.000000e-15,1.000000e-10,4.050000e-10,2.700000e-10,3.535000e-10,3.286000e-10
8.000000e-15,2.000000e-10,4.100000e-10,2.700000e-10,3.591000e-10,3.352000e-10
8.000000e-15,3.000000e-10,4.050000e-10,2.700000e-10,3.597000e-10,3.348000e-10
8.000000e-15,4.000000e-10,4.100000e-10,2.700000e-10,3.600000e-10,3.400000e-10
8.000000e-15,5.000000e-10,4.050000e-10,2.700000e-10,3.650000e-10,3.350000e-10
8.000000e-15,6.000000e-10,4.100000e-10,2.700000e-10,3.650000e-10,3.450000e-10
8.000000e-15,7.000000e-10,4.050000e-10,2.700000e-10,3.650000e-10,3.450000e-10
8.000000e-15,8.000000e-10,4.050000e-10,2.700000e-10,3.700000e-10,3.500000e-10
8.000000e-15,9.000000e-10,4.050000e-10,2.650000e-10,3.700000e-10,3.500000e-10
8.000000e-15,1.000000e-09,4.050000e-10,2.650000e-10,3.800000e-10,3.550000e-10
8.000000e-15,1.100000e-09,4.050000e-10,2.700000e-10,3.800000e-10,3.550000e-10
8.000000e-15,1.200000e-09,4.050000e-10,2.700000e-10,3.850000e-10,3.650000e-10
8.000000e-15,1.300000e-09,4.100000e-10,2.700000e-10,3.850000e-10,3.650000e-10
9.000000e-15,1.000000e-10,4.250000e-10,2.800000e-10,3.635000e-10,3.386000e-10
9.000000e-15,2.000000e-10,4.250000e-10,2.850000e-10,3.641000e-10,3.402000e-10
9.000000e-15,3.000000e-10,4.250000e-10,2.850000e-10,3.647000e-10,3.448000e-10
9.000000e-15,4.000000e-10,4.250000e-10,2.800000e-10,3.700000e-10,3.500000e-10
9.000000e-15,5.000000e-10,4.250000e-10,2.800000e-10,3.750000e-10,3.450000e-10
9.000000e-15,6.000000e-10,4.250000e-10,2.800000e-10,3.750000e-10,3.550000e-10
9.000000e-15,7.000000e-10,4.250000e-10,2.800000e-10,3.750000e-10,3.550000e-10
9.000000e-15,8.000000e-10,4.250000e-10,2.800000e-10,3.800000e-10,3.600000e-10
9.000000e-15,9.000000e-10,4.250000e-10,2.800000e-10,3.800000e-10,3.600000e-10
9.000000e-15,1.000000e-09,4.250000e-10,2.850000e-10,3.850000e-10,3.650000e-10
9.000000e-15,1.100000e-09,4.250000e-10,2.850000e-10,3.850000e-10,3.650000e-10
9.000000e-15,1.200000e-09,4.250000e-10,2.800000e-10,3.950000e-10,3.700000e-10
9.000000e-15,1.300000e-09,4.250000e-10,2.800000e-10,3.950000e-10,3.750000e-10
1.000000e-14,1.000000e-10,4.450000e-10,2.950000e-10,3.735000e-10,3.486000e-10
1.000000e-14,2.000000e-10,4.450000e-10,2.950000e-10,3.741000e-10,3.503000e-10
1.000000e-14,3.000000e-10,4.400000e-10,2.950000e-10,3.747000e-10,3.548000e-10
1.000000e-14,4.000000e-10,4.450000e-10,2.950000e-10,3.800000e-10,3.550000e-10
1.000000e-14,5.000000e-10,4.450000e-10,2.950000e-10,3.800000e-10,3.550000e-10
1.000000e-14,6.000000e-10,4.450000e-10,2.950000e-10,3.800000e-10,3.600000e-10
1.000000e-14,7.000000e-10,4.400000e-10,2.950000e-10,3.850000e-10,3.650000e-10
1.000000e-14,8.000000e-10,4.400000e-10,2.900000e-10,3.900000e-10,3.700000e-10
1.000000e-14,9.000000e-10,4.450000e-10,2.950000e-10,3.900000e-10,3.700000e-10
1.000000e-14,1.000000e-09,4.450000e-10,2.950000e-10,3.950000e-10,3.750000e-10
1.000000e-14,1.100000e-09,4.450000e-10,2.950000e-10,3.950000e-10,3.750000e-10
1.000000e-14,1.200000e-09,4.450000e-10,2.950000e-10,4.000000e-10,3.800000e-10
1.000000e-14,1.300000e-09,4.450000e-10,2.950000e-10,4.000000e-10,3.800000e-10
1.100000e-14,1.000000e-10,4.600000e-10,3.100000e-10,3.785000e-10,3.586000e-10
1.100000e-14,2.000000e-10,4.600000e-10,3.100000e-10,3.841000e-10,3.603000e-10
1.100000e-14,3.000000e-10,4.650000e-10,3.100000e-10,3.847000e-10,3.648000e-10
1.100000e-14,4.000000e-10,4.600000e-10,3.100000e-10,3.850000e-10,3.650000e-10
1.100000e-14,5.000000e-10,4.600000e-10,3.050000e-10,3.900000e-10,3.650000e-10
1.100000e-14,6.000000e-10,4.600000e-10,3.050000e-10,3.900000e-10,3.700000e-10
1.100000e-14,7.000000e-10,4.650000e-10,3.050000e-10,3.900000e-10,3.750000e-10
1.100000e-14,8.000000e-10,4.650000e-10,3.100000e-10,3.950000e-10,3.800000e-10
1.100000e-14,9.000000e-10,4.650000e-10,3.100000e-10,3.950000e-10,3.800000e-10
1.100000e-14,1.000000e-09,4.650000e-10,3.100000e-10,4.000000e-10,3.850000e-10
1.100000e-14,1.100000e-09,4.600000e-10,3.100000e-10,4.050000e-10,3.850000e-10
1.100000e-14,1.200000e-09,4.600000e-10,3.050000e-10,4.050000e-10,3.900000e-10
1.100000e-14,1.300000e-09,4.600000e-10,3.050000e-10,4.100000e-10,3.900000e-10
1.200000e-14,1.000000e-10,4.800000e-10,3.250000e-10,3.885000e-10,3.686000e-10
1.200000e-14,2.000000e-10,4.850000e-10,3.200000e-10,3.891000e-10,3.703000e-10
1.200000e-14,3.000000e-10,4.800000e-10,3.200000e-10,3.897000e-10,3.748000e-10
1.200000e-14,4.000000e-10,4.850000e-10,3.200000e-10,3.950000e-10,3.750000e-10
1.200000e-14,5.000000e-10,4.850000e-10,3.200000e-10,4.000000e-10,3.750000e-10
1.200000e-14,6.000000e-10,4.850000e-10,3.200000e-10,4.000000e-10,3.800000e-10
1.200000e-14,7.000000e-10,4.800000e-10,3.200000e-10,4.000000e-10,3.800000e-10
1.200000e-14,8.000000e-10,4.800000e-10,3.200000e-10,4.050000e-10,3.900000e-10
1.200000e-14,9.000000e-10,4.800000e-10,3.200000e-10,4.050000e-10,3.900000e-10
1.200000e-14,1.000000e-09,4.800000e-10,3.200000e-10,4.100000e-10,3.950000e-10
1.200000e-14,1.100000e-09,4.850000e-10,3.200000e-10,4.100000e-10,3.950000e-10
1.200000e-14,1.200000e-09,4.850000e-10,3.200000e-10,4.100000e-10,4.000000e-10
1.200000e-14,1.300000e-09,4.850000e-10,3.200000e-10,4.150000e-10,4.000000e-10
1.300000e-14,1.000000e-10,5.000000e-10,3.350000e-10,3.935000e-10,3.786000e-10
1.300000e-14,2.000000e-10,5.000000e-10,3.350000e-10,3.991000e-10,3.803000e-10
1.300000e-14,3.000000e-10,5.000000e-10,3.350000e-10,3.997000e-10,3.798000e-10
1.300000e-14,4.000000e-10,5.000000e-10,3.350000e-10,4.050000e-10,3.850000e-10
1.300000e-14,5.000000e-10,5.000000e-10,3.300000e-10,4.050000e-10,3.850000e-10
1.300000e-14,6.000000e-10,5.000000e-10,3.300000e-10,4.050000e-10,3.900000e-10
1.300000e-14,7.000000e-10,5.000000e-10,3.300000e-10,4.050000e-10,3.900000e-10
1.300000e-14,8.000000e-10,5.000000e-10,3.350000e-10,4.100000e-10,3.950000e-10
1.300000e-14,9.000000e-10,5.050000e-10,3.350000e-10,4.150000e-10,4.000000e-10
1.300000e-14,1.000000e-09,5.050000e-10,3.350000e-10,4.200000e-10,4.050000e-10
1.300000e-14,1.100000e-09,5.000000e-10,3.350000e-10,4.200000e-10,4.050000e-10
1.300000e-14,1.200000e-09,5.000000e-10,3.300000e-10,4.250000e-10,4.100000e-10
1.300000e-14,1.300000e-09,5.000000e-10,3.300000e-10,4.250000e-10,4.100000e-10
1.400000e-14,1.000000e-10,5.200000e-10,3.450000e-10,4.007000e-10,3.886000e-10
1.400000e-14,2.000000e-10,5.200000e-10,3.450000e-10,4.041000e-10,3.903000e-10
1.400000e-14,3.000000e-10,5.200000e-10,3.450000e-10,4.047000e-10,3.898000e-10
1.400000e-14,4.000000e-10,5.200000e-10,3.450000e-10,4.100000e-10,3.950000e-10
1.400000e-14,5.000000e-10,5.200000e-10,3.450000e-10,4.150000e-10,3.950000e-10
1.400000e-14,6.000000e-10,5.200000e-10,3.450000e-10,4.150000e-10,4.000000e-10
1.400000e-14,7.000000e-10,5.200000e-10,3.450000e-10,4.150000e-10,4.000000e-10
1.400000e-14,8.000000e-10,5.200000e-10,3.450000e-10,4.200000e-10,4.050000e-10
1.400000e-14,9.000000e-10,5.200000e-10,3.450000e-10,4.200000e-10,4.050000e-10
1.400000e-14,1.000000e-09,5.200000e-10,3.450000e-10,4.250000e-10,4.150000e-10
1.400000e-14,1.100000e-09,5.200000e-10,3.450000e-10,4.250000e-10,4.150000e-10
1.400000e-14,1.200000e-09,5.200000e-10,3.450000e-10,4.300000e-10,4.200000e-10
1.400000e-14,1.300000e-09,5.200000e-10,3.450000e-10,4.350000e-10,4.200000e-10
