CL,Tau_in,Rise Time,Fall Time,t_HL,t_LH
2.000000e-15,3.300000e-10,2.005000e-10,1.860000e-10,1.275000e-10,1.135000e-10
2.000000e-15,3.400000e-10,2.040000e-10,1.895000e-10,1.285000e-10,1.150000e-10
2.000000e-15,3.500000e-10,2.085000e-10,1.930000e-10,1.295000e-10,1.165000e-10
2.000000e-15,3.600000e-10,2.120000e-10,1.970000e-10,1.310000e-10,1.180000e-10
2.000000e-15,3.700000e-10,2.155000e-10,2.005000e-10,1.325000e-10,1.195000e-10
2.000000e-15,3.800000e-10,2.195000e-10,2.045000e-10,1.330000e-10,1.210000e-10
2.000000e-15,3.900000e-10,2.230000e-10,2.080000e-10,1.345000e-10,1.220000e-10
2.000000e-15,4.000000e-10,2.270000e-10,2.115000e-10,1.350000e-10,1.235000e-10
2.000000e-15,4.100000e-10,2.305000e-10,2.155000e-10,1.365000e-10,1.250000e-10
2.000000e-15,4.200000e-10,2.345000e-10,2.190000e-10,1.380000e-10,1.265000e-10
2.000000e-15,4.300000e-10,2.385000e-10,2.225000e-10,1.385000e-10,1.275000e-10
2.000000e-15,4.400000e-10,2.420000e-10,2.260000e-10,1.400000e-10,1.290000e-10
2.000000e-15,4.500000e-10,2.460000e-10,2.300000e-10,1.405000e-10,1.305000e-10
2.000000e-15,4.600000e-10,2.495000e-10,2.335000e-10,1.420000e-10,1.310000e-10
2.000000e-15,4.700000e-10,2.535000e-10,2.370000e-10,1.425000e-10,1.325000e-10
2.000000e-15,4.800000e-10,2.570000e-10,2.405000e-10,1.435000e-10,1.335000e-10
2.000000e-15,4.900000e-10,2.605000e-10,2.440000e-10,1.445000e-10,1.350000e-10
3.000000e-15,1.000000e-11,8.400000e-11,8.300000e-11,6.600000e-11,4.400000e-11
3.000000e-15,2.000000e-11,8.800000e-11,8.550000e-11,7.050000e-11,5.000000e-11
3.000000e-15,3.000000e-11,9.250000e-11,8.800000e-11,7.550000e-11,5.500000e-11
3.000000e-15,4.000000e-11,9.750000e-11,9.150000e-11,7.950000e-11,5.950000e-11
3.000000e-15,5.000000e-11,1.020000e-10,9.550000e-11,8.400000e-11,6.350000e-11
3.000000e-15,6.000000e-11,1.065000e-10,9.950000e-11,8.800000e-11,6.650000e-11
3.000000e-15,7.000000e-11,1.110000e-10,1.035000e-10,9.150000e-11,7.050000e-11
3.000000e-15,8.000000e-11,1.150000e-10,1.080000e-10,9.400000e-11,7.300000e-11
3.000000e-15,9.000000e-11,1.190000e-10,1.120000e-10,9.700000e-11,7.650000e-11
3.000000e-15,1.000000e-10,1.230000e-10,1.160000e-10,1.000000e-10,7.900000e-11
3.000000e-15,1.100000e-10,1.270000e-10,1.200000e-10,1.020000e-10,8.200000e-11
3.000000e-15,1.200000e-10,1.305000e-10,1.235000e-10,1.045000e-10,8.450000e-11
3.000000e-15,1.300000e-10,1.350000e-10,1.270000e-10,1.065000e-10,8.650000e-11
3.000000e-15,1.400000e-10,1.385000e-10,1.310000e-10,1.090000e-10,8.950000e-11
3.000000e-15,1.500000e-10,1.425000e-10,1.340000e-10,1.110000e-10,9.150000e-11
3.000000e-15,1.600000e-10,1.465000e-10,1.375000e-10,1.130000e-10,9.400000e-11
3.000000e-15,1.700000e-10,1.500000e-10,1.415000e-10,1.155000e-10,9.650000e-11
3.000000e-15,1.800000e-10,1.545000e-10,1.450000e-10,1.175000e-10,9.850000e-11
3.000000e-15,1.900000e-10,1.585000e-10,1.485000e-10,1.190000e-10,1.005000e-10
3.000000e-15,2.000000e-10,1.625000e-10,1.525000e-10,1.210000e-10,1.025000e-10
3.000000e-15,2.100000e-10,1.660000e-10,1.560000e-10,1.225000e-10,1.045000e-10
3.000000e-15,2.200000e-10,1.700000e-10,1.595000e-10,1.245000e-10,1.065000e-10
3.000000e-15,2.300000e-10,1.740000e-10,1.635000e-10,1.260000e-10,1.085000e-10
3.000000e-15,2.400000e-10,1.780000e-10,1.670000e-10,1.280000e-10,1.105000e-10
3.000000e-15,2.500000e-10,1.820000e-10,1.710000e-10,1.295000e-10,1.120000e-10
3.000000e-15,2.600000e-10,1.860000e-10,1.750000e-10,1.310000e-10,1.140000e-10
3.000000e-15,2.700000e-10,1.895000e-10,1.785000e-10,1.325000e-10,1.155000e-10
3.000000e-15,2.800000e-10,1.940000e-10,1.825000e-10,1.345000e-10,1.175000e-10
3.000000e-15,2.900000e-10,1.980000e-10,1.865000e-10,1.355000e-10,1.190000e-10
3.000000e-15,3.000000e-10,2.015000e-10,1.895000e-10,1.370000e-10,1.210000e-10
3.000000e-15,3.100000e-10,2.055000e-10,1.935000e-10,1.385000e-10,1.230000e-10
3.000000e-15,3.200000e-10,2.095000e-10,1.975000e-10,1.400000e-10,1.245000e-10
3.000000e-15,3.300000e-10,2.135000e-10,2.015000e-10,1.410000e-10,1.260000e-10
3.000000e-15,3.400000e-10,2.175000e-10,2.050000e-10,1.425000e-10,1.275000e-10
3.000000e-15,3.500000e-10,2.210000e-10,2.085000e-10,1.440000e-10,1.290000e-10
3.000000e-15,3.600000e-10,2.250000e-10,2.120000e-10,1.455000e-10,1.305000e-10
3.000000e-15,3.700000e-10,2.290000e-10,2.160000e-10,1.465000e-10,1.320000e-10
3.000000e-15,3.800000e-10,2.325000e-10,2.200000e-10,1.475000e-10,1.335000e-10
3.000000e-15,3.900000e-10,2.365000e-10,2.235000e-10,1.485000e-10,1.350000e-10
3.000000e-15,4.000000e-10,2.405000e-10,2.275000e-10,1.500000e-10,1.365000e-10
3.000000e-15,4.100000e-10,2.440000e-10,2.310000e-10,1.515000e-10,1.380000e-10
3.000000e-15,4.200000e-10,2.480000e-10,2.350000e-10,1.525000e-10,1.395000e-10
3.000000e-15,4.300000e-10,2.515000e-10,2.385000e-10,1.535000e-10,1.410000e-10
